census_year,rc13,rc13desc,sex,age_grp,ur5_rc13,ur5_rc13desc,count
1996,01,Northland Region,Female,75–79,07,Taranaki Region,..C
1996,01,Northland Region,Female,75–79,08,Manawatu-Wanganui Region,..C
1996,01,Northland Region,Female,75–79,09,Wellington Region,..C
1996,01,Northland Region,Female,75–79,12,West Coast Region,..C
1996,01,Northland Region,Female,75–79,13,Canterbury Region,..C
1996,01,Northland Region,Female,75–79,14,Otago Region,..C
1996,01,Northland Region,Female,75–79,15,Southland Region,..C
1996,01,Northland Region,Female,80–84,,,00078
1996,01,Northland Region,Female,80–84,01,Northland Region,00993
1996,01,Northland Region,Female,80–84,02,Auckland Region,00054
1996,01,Northland Region,Female,80–84,03,Waikato Region,00009
1996,01,Northland Region,Female,80–84,04,Bay of Plenty Region,..C
1996,01,Northland Region,Female,80–84,06,Hawke's Bay Region,..C
1996,01,Northland Region,Female,80–84,07,Taranaki Region,00006
1996,01,Northland Region,Female,80–84,08,Manawatu-Wanganui Region,00006
1996,01,Northland Region,Female,80–84,09,Wellington Region,..C
1996,01,Northland Region,Female,80–84,13,Canterbury Region,..C
1996,01,Northland Region,Female,80–84,15,Southland Region,..C
1996,01,Northland Region,Female,85–89,,,00063
1996,01,Northland Region,Female,85–89,01,Northland Region,00480
1996,01,Northland Region,Female,85–89,02,Auckland Region,00033
1996,01,Northland Region,Female,85–89,03,Waikato Region,00006
1996,01,Northland Region,Female,85–89,04,Bay of Plenty Region,..C
1996,01,Northland Region,Female,85–89,08,Manawatu-Wanganui Region,..C
1996,01,Northland Region,Female,85–89,09,Wellington Region,..C
1996,01,Northland Region,Female,85–89,13,Canterbury Region,..C
1996,01,Northland Region,Female,85–89,18,Marlborough Region,..C
1996,01,Northland Region,Female,90+,,,00018
1996,01,Northland Region,Female,90+,01,Northland Region,00192
1996,01,Northland Region,Female,90+,02,Auckland Region,00009
1996,01,Northland Region,Female,90+,03,Waikato Region,..C
1996,01,Northland Region,Female,90+,04,Bay of Plenty Region,..C
1996,01,Northland Region,Female,90+,05,Gisborne Region,..C
1996,01,Northland Region,Female,90+,06,Hawke's Bay Region,..C
1996,01,Northland Region,Female,90+,07,Taranaki Region,..C
1996,01,Northland Region,Female,90+,09,Wellington Region,..C
1996,01,Northland Region,Female,90+,16,Tasman Region,..C
1996,01,Northland Region,Female,90+,18,Marlborough Region,..C
1996,01,Northland Region,Male,05-09,,,00531
1996,01,Northland Region,Male,05-09,01,Northland Region,04734
1996,01,Northland Region,Male,05-09,02,Auckland Region,00624
1996,01,Northland Region,Male,05-09,03,Waikato Region,00174
1996,01,Northland Region,Male,05-09,04,Bay of Plenty Region,00072
1996,01,Northland Region,Male,05-09,05,Gisborne Region,00018
1996,01,Northland Region,Male,05-09,06,Hawke's Bay Region,00024
1996,01,Northland Region,Male,05-09,07,Taranaki Region,00027
1996,01,Northland Region,Male,05-09,08,Manawatu-Wanganui Region,00057
1996,01,Northland Region,Male,05-09,09,Wellington Region,00051
1996,01,Northland Region,Male,05-09,12,West Coast Region,00006
1996,01,Northland Region,Male,05-09,13,Canterbury Region,00033
1996,01,Northland Region,Male,05-09,14,Otago Region,00018
1996,01,Northland Region,Male,05-09,15,Southland Region,00012
1996,01,Northland Region,Male,05-09,16,Tasman Region,..C
1996,01,Northland Region,Male,05-09,17,Nelson Region,..C
1996,01,Northland Region,Male,05-09,18,Marlborough Region,..C
1996,01,Northland Region,Male,10-14,,,00429
1996,01,Northland Region,Male,10-14,01,Northland Region,04587
1996,01,Northland Region,Male,10-14,02,Auckland Region,00426
1996,01,Northland Region,Male,10-14,03,Waikato Region,00153
1996,01,Northland Region,Male,10-14,04,Bay of Plenty Region,00033
1996,01,Northland Region,Male,10-14,05,Gisborne Region,00006
1996,01,Northland Region,Male,10-14,06,Hawke's Bay Region,00024
1996,01,Northland Region,Male,10-14,07,Taranaki Region,00024
1996,01,Northland Region,Male,10-14,08,Manawatu-Wanganui Region,00042
1996,01,Northland Region,Male,10-14,09,Wellington Region,00051
1996,01,Northland Region,Male,10-14,12,West Coast Region,..C
1996,01,Northland Region,Male,10-14,13,Canterbury Region,00021
1996,01,Northland Region,Male,10-14,14,Otago Region,00006
1996,01,Northland Region,Male,10-14,15,Southland Region,00009
1996,01,Northland Region,Male,10-14,16,Tasman Region,..C
1996,01,Northland Region,Male,10-14,18,Marlborough Region,..C
1996,01,Northland Region,Male,15-19,,,00438
1996,01,Northland Region,Male,15-19,01,Northland Region,03477
1996,01,Northland Region,Male,15-19,02,Auckland Region,00309
1996,01,Northland Region,Male,15-19,03,Waikato Region,00084
1996,01,Northland Region,Male,15-19,04,Bay of Plenty Region,00027
1996,01,Northland Region,Male,15-19,05,Gisborne Region,00009
1996,01,Northland Region,Male,15-19,06,Hawke's Bay Region,00018
1996,01,Northland Region,Male,15-19,07,Taranaki Region,00024
1996,01,Northland Region,Male,15-19,08,Manawatu-Wanganui Region,00042
1996,01,Northland Region,Male,15-19,09,Wellington Region,00030
1996,01,Northland Region,Male,15-19,13,Canterbury Region,00018
1996,01,Northland Region,Male,15-19,14,Otago Region,00012
1996,01,Northland Region,Male,15-19,15,Southland Region,00009
1996,01,Northland Region,Male,15-19,16,Tasman Region,..C
1996,01,Northland Region,Male,15-19,17,Nelson Region,..C
1996,01,Northland Region,Male,15-19,18,Marlborough Region,..C
1996,01,Northland Region,Male,20–24,,,00471
1996,01,Northland Region,Male,20–24,01,Northland Region,02388
1996,01,Northland Region,Male,20–24,02,Auckland Region,00288
1996,01,Northland Region,Male,20–24,03,Waikato Region,00087
1996,01,Northland Region,Male,20–24,04,Bay of Plenty Region,00042
1996,01,Northland Region,Male,20–24,05,Gisborne Region,00012
1996,01,Northland Region,Male,20–24,06,Hawke's Bay Region,00018
1996,01,Northland Region,Male,20–24,07,Taranaki Region,00024
1996,01,Northland Region,Male,20–24,08,Manawatu-Wanganui Region,00039
1996,01,Northland Region,Male,20–24,09,Wellington Region,00036
1996,01,Northland Region,Male,20–24,12,West Coast Region,..C
1996,01,Northland Region,Male,20–24,13,Canterbury Region,00027
1996,01,Northland Region,Male,20–24,14,Otago Region,00012
1996,01,Northland Region,Male,20–24,15,Southland Region,00006
1996,01,Northland Region,Male,20–24,16,Tasman Region,..C
1996,01,Northland Region,Male,20–24,17,Nelson Region,..C
1996,01,Northland Region,Male,20–24,18,Marlborough Region,..C
1996,01,Northland Region,Male,25–29,,,00516
1996,01,Northland Region,Male,25–29,01,Northland Region,02376
1996,01,Northland Region,Male,25–29,02,Auckland Region,00414
1996,01,Northland Region,Male,25–29,03,Waikato Region,00111
1996,01,Northland Region,Male,25–29,04,Bay of Plenty Region,00033
1996,01,Northland Region,Male,25–29,05,Gisborne Region,00012
1996,01,Northland Region,Male,25–29,06,Hawke's Bay Region,00021
1996,01,Northland Region,Male,25–29,07,Taranaki Region,00018
1996,01,Northland Region,Male,25–29,08,Manawatu-Wanganui Region,00051
1996,01,Northland Region,Male,25–29,09,Wellington Region,00051
1996,01,Northland Region,Male,25–29,12,West Coast Region,..C
1996,01,Northland Region,Male,25–29,13,Canterbury Region,00030
1996,01,Northland Region,Male,25–29,14,Otago Region,00024
1996,01,Northland Region,Male,25–29,15,Southland Region,00009
1996,01,Northland Region,Male,25–29,16,Tasman Region,00006
1996,01,Northland Region,Male,25–29,17,Nelson Region,..C
1996,01,Northland Region,Male,25–29,18,Marlborough Region,..C
1996,01,Northland Region,Male,30–34,,,00483
1996,01,Northland Region,Male,30–34,01,Northland Region,02985
1996,01,Northland Region,Male,30–34,02,Auckland Region,00471
1996,01,Northland Region,Male,30–34,03,Waikato Region,00102
1996,01,Northland Region,Male,30–34,04,Bay of Plenty Region,00054
1996,01,Northland Region,Male,30–34,05,Gisborne Region,00009
1996,01,Northland Region,Male,30–34,06,Hawke's Bay Region,00018
1996,01,Northland Region,Male,30–34,07,Taranaki Region,00024
1996,01,Northland Region,Male,30–34,08,Manawatu-Wanganui Region,00042
1996,01,Northland Region,Male,30–34,09,Wellington Region,00057
1996,01,Northland Region,Male,30–34,12,West Coast Region,..C
1996,01,Northland Region,Male,30–34,13,Canterbury Region,00027
1996,01,Northland Region,Male,30–34,14,Otago Region,00018
1996,01,Northland Region,Male,30–34,15,Southland Region,00006
1996,01,Northland Region,Male,30–34,16,Tasman Region,..C
1996,01,Northland Region,Male,30–34,17,Nelson Region,..C
1996,01,Northland Region,Male,35–39,,,00465
1996,01,Northland Region,Male,35–39,01,Northland Region,03438
1996,01,Northland Region,Male,35–39,02,Auckland Region,00408
1996,01,Northland Region,Male,35–39,03,Waikato Region,00132
1996,01,Northland Region,Male,35–39,04,Bay of Plenty Region,00060
1996,01,Northland Region,Male,35–39,05,Gisborne Region,00006
1996,01,Northland Region,Male,35–39,06,Hawke's Bay Region,00015
1996,01,Northland Region,Male,35–39,07,Taranaki Region,00021
1996,01,Northland Region,Male,35–39,08,Manawatu-Wanganui Region,00036
1996,01,Northland Region,Male,35–39,09,Wellington Region,00045
1996,01,Northland Region,Male,35–39,12,West Coast Region,..C
1996,01,Northland Region,Male,35–39,13,Canterbury Region,00024
1996,01,Northland Region,Male,35–39,14,Otago Region,00018
1996,01,Northland Region,Male,35–39,15,Southland Region,00009
1996,01,Northland Region,Male,35–39,16,Tasman Region,00006
1996,01,Northland Region,Male,35–39,17,Nelson Region,00006
1996,01,Northland Region,Male,35–39,18,Marlborough Region,..C
1996,01,Northland Region,Male,40–44,,,00345
1996,01,Northland Region,Male,40–44,01,Northland Region,03579
1996,01,Northland Region,Male,40–44,02,Auckland Region,00342
1996,01,Northland Region,Male,40–44,03,Waikato Region,00090
1996,01,Northland Region,Male,40–44,04,Bay of Plenty Region,00024
1996,01,Northland Region,Male,40–44,05,Gisborne Region,00012
1996,01,Northland Region,Male,40–44,06,Hawke's Bay Region,00012
1996,01,Northland Region,Male,40–44,07,Taranaki Region,00018
1996,01,Northland Region,Male,40–44,08,Manawatu-Wanganui Region,00039
1996,01,Northland Region,Male,40–44,09,Wellington Region,00054
1996,01,Northland Region,Male,40–44,12,West Coast Region,..C
1996,01,Northland Region,Male,40–44,13,Canterbury Region,00015
1996,01,Northland Region,Male,40–44,14,Otago Region,00012
1996,01,Northland Region,Male,40–44,15,Southland Region,..C
1996,01,Northland Region,Male,40–44,16,Tasman Region,..C
1996,01,Northland Region,Male,40–44,17,Nelson Region,..C
1996,01,Northland Region,Male,40–44,18,Marlborough Region,..C
1996,01,Northland Region,Male,40–44,99,Area Outside Region,..C
1996,01,Northland Region,Male,45–49,,,00315
1996,01,Northland Region,Male,45–49,01,Northland Region,03513
1996,01,Northland Region,Male,45–49,02,Auckland Region,00273
1996,01,Northland Region,Male,45–49,03,Waikato Region,00072
1996,01,Northland Region,Male,45–49,04,Bay of Plenty Region,00030
1996,01,Northland Region,Male,45–49,05,Gisborne Region,00009
1996,01,Northland Region,Male,45–49,06,Hawke's Bay Region,00009
1996,01,Northland Region,Male,45–49,07,Taranaki Region,00018
1996,01,Northland Region,Male,45–49,08,Manawatu-Wanganui Region,00024
1996,01,Northland Region,Male,45–49,09,Wellington Region,00036
1996,01,Northland Region,Male,45–49,12,West Coast Region,..C
1996,01,Northland Region,Male,45–49,13,Canterbury Region,00012
1996,01,Northland Region,Male,45–49,14,Otago Region,00009
1996,01,Northland Region,Male,45–49,15,Southland Region,00006
1996,01,Northland Region,Male,45–49,16,Tasman Region,..C
1996,01,Northland Region,Male,45–49,17,Nelson Region,..C
1996,01,Northland Region,Male,45–49,99,Area Outside Region,..C
1996,01,Northland Region,Male,50–54,,,00255
1996,01,Northland Region,Male,50–54,01,Northland Region,02871
1996,01,Northland Region,Male,50–54,02,Auckland Region,00294
1996,01,Northland Region,Male,50–54,03,Waikato Region,00033
1996,01,Northland Region,Male,50–54,04,Bay of Plenty Region,00030
1996,01,Northland Region,Male,50–54,05,Gisborne Region,00006
1996,01,Northland Region,Male,50–54,06,Hawke's Bay Region,00009
1996,01,Northland Region,Male,50–54,07,Taranaki Region,00015
1996,01,Northland Region,Male,50–54,08,Manawatu-Wanganui Region,00018
1996,01,Northland Region,Male,50–54,09,Wellington Region,00021
1996,01,Northland Region,Male,50–54,12,West Coast Region,..C
1996,01,Northland Region,Male,50–54,13,Canterbury Region,00006
1996,01,Northland Region,Male,50–54,14,Otago Region,00009
1996,01,Northland Region,Male,50–54,15,Southland Region,..C
1996,01,Northland Region,Male,50–54,17,Nelson Region,..C
1996,01,Northland Region,Male,50–54,18,Marlborough Region,..C
1996,01,Northland Region,Male,50–54,99,Area Outside Region,..C
1996,01,Northland Region,Male,55–59,,,00240
1996,01,Northland Region,Male,55–59,01,Northland Region,02694
1996,01,Northland Region,Male,55–59,02,Auckland Region,00294
1996,01,Northland Region,Male,55–59,03,Waikato Region,00051
1996,01,Northland Region,Male,55–59,04,Bay of Plenty Region,00027
1996,01,Northland Region,Male,55–59,05,Gisborne Region,00006
1996,01,Northland Region,Male,55–59,06,Hawke's Bay Region,00006
1996,01,Northland Region,Male,55–59,07,Taranaki Region,00009
1996,01,Northland Region,Male,55–59,08,Manawatu-Wanganui Region,00012
1996,01,Northland Region,Male,55–59,09,Wellington Region,00024
1996,01,Northland Region,Male,55–59,13,Canterbury Region,00018
