year,sex,age,idierp
2008,Female,71,14325
2008,Female,72,13563
2008,Female,73,12720
2008,Female,74,12414
2008,Female,75,12276
2008,Female,76,11973
2008,Female,77,11964
2008,Female,78,11334
2008,Female,79,10599
2008,Female,80,10344
2008,Female,81,9612
2008,Female,82,9201
2008,Female,83,8763
2008,Female,84,7860
2008,Female,85,7125
2008,Female,86,6744
2008,Female,87,5877
2008,Female,88,5049
2008,Female,89,3645
2008,Female,90,14907
2008,Male,0,32940
2008,Male,1,31611
2008,Male,2,29979
2008,Male,3,29523
2008,Male,4,29649
2008,Male,5,29169
2008,Male,6,29001
2008,Male,7,30102
2008,Male,8,30678
2008,Male,9,30093
2008,Male,10,30834
2008,Male,11,30729
2008,Male,12,31539
2008,Male,13,31842
2008,Male,14,32052
2008,Male,15,32814
2008,Male,16,33342
2008,Male,17,34140
2008,Male,18,33108
2008,Male,19,32466
2008,Male,20,31965
2008,Male,21,30807
2008,Male,22,29532
2008,Male,23,29181
2008,Male,24,29184
2008,Male,25,28782
2008,Male,26,27672
2008,Male,27,27429
2008,Male,28,26721
2008,Male,29,26364
2008,Male,30,25887
2008,Male,31,26736
2008,Male,32,26673
2008,Male,33,27663
2008,Male,34,28980
2008,Male,35,30105
2008,Male,36,31545
2008,Male,37,32076
2008,Male,38,31434
2008,Male,39,31767
2008,Male,40,31440
2008,Male,41,31275
2008,Male,42,31254
2008,Male,43,31824
2008,Male,44,32988
2008,Male,45,33357
2008,Male,46,33501
2008,Male,47,32244
2008,Male,48,31287
2008,Male,49,30975
2008,Male,50,29169
2008,Male,51,28626
2008,Male,52,27432
2008,Male,53,26649
2008,Male,54,25986
2008,Male,55,24972
2008,Male,56,24876
2008,Male,57,24231
2008,Male,58,24024
2008,Male,59,23694
2008,Male,60,23622
2008,Male,61,23736
2008,Male,62,19794
2008,Male,63,18744
2008,Male,64,17979
2008,Male,65,16098
2008,Male,66,17982
2008,Male,67,17541
2008,Male,68,16083
2008,Male,69,14244
2008,Male,70,13722
2008,Male,71,12789
2008,Male,72,12021
2008,Male,73,11571
2008,Male,74,10914
2008,Male,75,10419
2008,Male,76,10290
2008,Male,77,10119
2008,Male,78,9003
2008,Male,79,8508
2008,Male,80,7944
2008,Male,81,7191
2008,Male,82,6360
2008,Male,83,5781
2008,Male,84,4881
2008,Male,85,4218
2008,Male,86,3618
2008,Male,87,2925
2008,Male,88,2430
2008,Male,89,1674
2008,Male,90,5379
2009,Female,0,30537
2009,Female,1,30924
2009,Female,2,29985
2009,Female,3,28719
2009,Female,4,28137
2009,Female,5,28446
2009,Female,6,27873
2009,Female,7,28119
2009,Female,8,28809
2009,Female,9,29352
2009,Female,10,28512
2009,Female,11,29355
2009,Female,12,29304
2009,Female,13,29457
2009,Female,14,30186
2009,Female,15,30477
2009,Female,16,31230
2009,Female,17,31674
2009,Female,18,32490
2009,Female,19,32019
2009,Female,20,30999
2009,Female,21,30432
2009,Female,22,28563
2009,Female,23,28158
2009,Female,24,27993
2009,Female,25,27876
2009,Female,26,27810
2009,Female,27,27420
2009,Female,28,27204
2009,Female,29,27303
2009,Female,30,27807
2009,Female,31,27084
2009,Female,32,27582
2009,Female,33,27864
2009,Female,34,29271
2009,Female,35,30735
2009,Female,36,31650
2009,Female,37,33378
2009,Female,38,33795
2009,Female,39,32772
2009,Female,40,33192
2009,Female,41,32898
2009,Female,42,32793
2009,Female,43,32280
2009,Female,44,32934
2009,Female,45,34314
2009,Female,46,35034
2009,Female,47,35007
2009,Female,48,34080
2009,Female,49,32406
2009,Female,50,32013
2009,Female,51,30321
2009,Female,52,29352
2009,Female,53,28752
2009,Female,54,27639
2009,Female,55,27123
2009,Female,56,25863
2009,Female,57,25470
2009,Female,58,24768
2009,Female,59,25005
2009,Female,60,24156
2009,Female,61,24537
2009,Female,62,24570
2009,Female,63,20652
2009,Female,64,19584
2009,Female,65,18921
2009,Female,66,16998
2009,Female,67,19275
2009,Female,68,18540
2009,Female,69,17031
2009,Female,70,15669
2009,Female,71,14841
2009,Female,72,14109
2009,Female,73,13353
2009,Female,74,12480
2009,Female,75,12159
2009,Female,76,12024
2009,Female,77,11667
2009,Female,78,11625
2009,Female,79,10941
2009,Female,80,10209
2009,Female,81,9918
2009,Female,82,9180
2009,Female,83,8682
2009,Female,84,8244
2009,Female,85,7311
2009,Female,86,6525
2009,Female,87,6096
2009,Female,88,5295
2009,Female,89,4473
2009,Female,90,14958
2009,Male,0,32829
2009,Male,1,32739
2009,Male,2,31629
2009,Male,3,30171
2009,Male,4,29751
2009,Male,5,29895
2009,Male,6,29382
2009,Male,7,29085
2009,Male,8,30240
2009,Male,9,30777
2009,Male,10,30270
2009,Male,11,30936
2009,Male,12,30846
2009,Male,13,31638
2009,Male,14,32004
